Prediction Date,Actual Outcome,Predicted Outcome,Win Probability,Confidence Score,Prediction Correct
2026-01-05,Abandoned,Abandoned,0.3364,Medium,True
2026-01-30,Abandoned,Abandoned,0.3922,Medium,True
2026-02-27,Abandoned,Abandoned,0.3566,Medium,True
2025-11-28,Abandoned,Abandoned,0.3359,Medium,True
2026-01-05,Abandoned,Abandoned,0.2888,Medium,True
2026-01-30,Abandoned,Abandoned,0.3359,Medium,True
2026-02-27,Abandoned,Abandoned,0.3359,Medium,True
2026-04-10,Abandoned,Abandoned,0.3359,Medium,True
2025-11-28,Won,Lost,0.1249,High,False
2025-11-28,Abandoned,Won,0.7329,High,False
2026-01-05,Abandoned,Won,0.5899,Medium,False
2025-11-28,Abandoned,Abandoned,0.0884,High,True
2026-01-05,Abandoned,Abandoned,0.0729,High,True
2026-01-30,Abandoned,Abandoned,0.109,High,True
2025-11-28,Abandoned,Lost,0.1927,High,False
2025-11-28,Abandoned,Abandoned,0.2624,Medium,True
2025-11-28,Abandoned,Abandoned,0.1534,High,True
2025-11-28,Abandoned,Abandoned,0.2615,Medium,True
2026-01-05,Abandoned,Abandoned,0.209,High,True
2025-11-28,Abandoned,Abandoned,0.0564,High,True
2026-01-05,Abandoned,Abandoned,0.0511,High,True
2026-01-30,Abandoned,Abandoned,0.0564,High,True
2026-02-27,Abandoned,Abandoned,0.0564,High,True
2026-01-30,Abandoned,Abandoned,0.2987,Medium,True
2026-02-27,Abandoned,Abandoned,0.2358,Medium,True
2026-04-10,Abandoned,Abandoned,0.1964,High,True
2026-05-08,Abandoned,Abandoned,0.1964,High,True
2025-11-28,Abandoned,Abandoned,0.1795,High,True
2026-01-05,Abandoned,Abandoned,0.1433,High,True
2026-01-30,Abandoned,Abandoned,0.1795,High,True
2026-02-27,Abandoned,Abandoned,0.1659,High,True
2026-04-10,Abandoned,Abandoned,0.2193,High,True
2025-11-28,Abandoned,Abandoned,0.0865,High,True
2026-01-05,Abandoned,Abandoned,0.0835,High,True
2026-01-30,Abandoned,Abandoned,0.0865,High,True
2026-02-27,Abandoned,Abandoned,0.079,High,True
2026-04-10,Abandoned,Abandoned,0.1555,High,True
2025-11-28,Abandoned,Abandoned,0.0671,High,True
2026-01-05,Abandoned,Abandoned,0.0629,High,True
2026-01-30,Abandoned,Abandoned,0.0671,High,True
2026-02-27,Abandoned,Abandoned,0.0611,High,True
2026-04-10,Abandoned,Abandoned,0.13,High,True
2025-11-28,Abandoned,Abandoned,0.1744,High,True
2026-01-05,Abandoned,Abandoned,0.1391,High,True
2026-01-30,Abandoned,Abandoned,0.1744,High,True
2026-02-27,Abandoned,Abandoned,0.161,High,True
2026-04-10,Abandoned,Abandoned,0.2709,Medium,True
2025-11-28,Abandoned,Won,0.5293,Medium,False
2026-01-05,Abandoned,Won,0.4651,Medium,False
2026-01-30,Abandoned,Won,0.4599,Medium,False
2025-11-28,Won,Won,0.5696,Medium,True
2026-01-05,Won,Won,0.5514,Medium,True
2025-11-28,Abandoned,Abandoned,0.2541,Medium,True
2026-01-05,Abandoned,Abandoned,0.2983,Medium,True
2026-01-30,Abandoned,Abandoned,0.3417,Medium,True
2026-02-27,Abandoned,Abandoned,0.3384,Medium,True
2026-04-10,Abandoned,Abandoned,0.2395,Medium,True
2026-05-08,Abandoned,Abandoned,0.2395,Medium,True
2025-11-28,Won,Abandoned,0.2713,High,False
2026-01-05,Won,Abandoned,0.1611,High,False
2026-01-30,Won,Won,0.8157,High,True
2026-02-27,Won,Won,0.6755,Medium,True
2025-11-28,Abandoned,Abandoned,0.3517,Medium,True
